# Note: Line fluxes given scaled to redshift z = 3.0 and M_d = 8.68e+09Msun 
# Max contribution from a single source is 0.71 for HCN32 line
# The last several lines give the results for stacking *all* transitions of
# a given molecule - be careful with how you use these values!
# Line 		Nsrc 	I 	dI 	16% 	84% 	Lline 		dLline 		L'line 		dL'line 	S/N 	Max single contribution 
# --- 		--- 	Jykm/s 	Jykm/s	Jykm/s 	Jykm/s 	Lsun 		Lsun 		Kkm/spc2 	Kkm/spc2 	--- 	---
H28alpha 	4 	0.131 	0.081 	0.044 	0.323 	6.530e+06 	4.048e+06 	8.885e+09 	5.507e+09 	1.61 	0.36
CO??    	102 	7.419 	0.062 	4.398 	19.655 	5.531e+08 	8.035e+06 	1.998e+11 	2.919e+09 	118.97 	0.06
13CO??  	100 	0.263 	0.036 	-0.381 	1.151 	1.961e+07 	2.715e+06 	6.994e+09 	9.685e+08 	7.22 	0.06
C18O??  	100 	0.091 	0.036 	-0.858 	0.949 	6.782e+06 	2.680e+06 	2.410e+09 	9.522e+08 	2.53 	0.07
HCN??   	123 	0.174 	0.032 	-0.545 	1.293 	1.299e+07 	2.396e+06 	4.668e+09 	8.614e+08 	5.42 	0.06
HNC??   	124 	0.163 	0.035 	-0.577 	1.041 	1.246e+07 	2.708e+06 	4.207e+09 	9.146e+08 	4.60 	0.06
HCO+??  	126 	0.176 	0.032 	-0.334 	1.176 	1.319e+07 	2.441e+06 	4.680e+09 	8.662e+08 	5.40 	0.06
CS*     	193 	-0.094 	0.025 	-0.867 	0.541 	-6.970e+06 	1.875e+06 	-2.485e+09 	6.686e+08 	-3.72 	0.04
H2O+??? 	124 	0.072 	0.087 	-1.504 	1.926 	7.914e+06 	9.596e+06 	9.924e+08 	1.203e+09 	0.82 	0.08
CH???   	74 	0.454 	0.055 	-0.125 	1.572 	4.269e+07 	5.179e+06 	8.723e+09 	1.058e+09 	8.24 	0.13
OH???   	66 	0.061 	0.037 	-0.429 	0.533 	4.697e+06 	2.848e+06 	1.778e+09 	1.078e+09 	1.65 	0.08
CN??    	98 	0.182 	0.036 	-0.545 	1.207 	1.348e+07 	2.631e+06 	4.908e+09 	9.579e+08 	5.12 	0.07
SiO*    	252 	-0.095 	0.023 	-0.745 	0.635 	-7.153e+06 	1.695e+06 	-2.518e+09 	5.966e+08 	-4.22 	0.03
N2H+??  	120 	-0.093 	0.034 	-0.948 	0.747 	-7.109e+06 	2.606e+06 	-2.409e+09 	8.831e+08 	-2.73 	0.05
H??alpha 	180 	-0.053 	0.023 	-0.707 	0.551 	-3.738e+06 	1.591e+06 	-1.597e+09 	6.797e+08 	-2.35 	0.04
CCH*    	121 	-0.073 	0.032 	-0.821 	0.749 	-5.434e+06 	2.352e+06 	-1.948e+09 	8.431e+08 	-2.31 	0.06
H2CO*   	49 	0.079 	0.040 	-0.361 	0.733 	5.251e+06 	2.636e+06 	2.857e+09 	1.435e+09 	1.99 	0.06
HC3N*   	232 	-0.087 	0.030 	-1.145 	0.667 	-6.524e+06 	2.240e+06 	-2.290e+09 	7.862e+08 	-2.91 	0.02
