# nu	S_nu	dS_nu	Nsource
# GHz	mJy	mJy	---
494.66	-0.2425	0.3199	13
495.49	-0.0470	0.3270	13
496.31	0.2825	0.3338	13
497.14	0.0262	0.3409	13
497.97	-0.0524	0.3418	13
498.80	-0.4508	0.3455	13
499.63	-0.0202	0.3483	13
500.46	-0.4435	0.3549	13
501.30	-0.3164	0.3643	13
502.14	-0.3588	0.3835	13
502.97	-0.0381	0.4053	12
503.81	-0.2558	0.3974	12
504.65	-0.2675	0.3997	12
505.49	-0.6857	0.4184	12
506.34	-0.7870	0.4767	11
507.18	-0.1438	0.4805	11
508.03	-0.2111	0.4845	11
508.87	0.2147	0.4883	11
509.72	0.5497	0.4817	11
510.57	-0.0189	0.4929	11
511.42	0.0375	0.5011	11
512.28	1.1270	0.4979	11
513.13	-0.2467	0.4963	11
513.99	-0.4128	0.4942	11
514.84	0.3056	0.4959	11
515.70	0.5313	0.4989	11
516.56	-0.3717	0.4998	11
517.43	0.3742	0.4999	11
518.29	-0.5590	0.5056	11
519.15	0.0321	0.5004	11
520.02	0.5491	0.4899	11
520.89	0.4115	0.4922	11
521.75	-0.0132	0.4953	11
522.62	0.3330	0.5089	11
523.50	0.4946	0.4946	11
524.37	0.9731	0.4909	11
525.24	-0.4616	0.4887	11
526.12	0.0086	0.4756	11
527.00	-0.7002	0.4708	11
527.88	-1.2545	0.4621	11
528.76	0.2456	0.4769	11
529.64	-0.7145	0.4763	10
530.52	-0.9912	0.4670	10
531.41	0.2200	0.4744	10
532.29	0.4104	0.4673	10
533.18	0.7159	0.4659	10
534.07	0.0965	0.4613	10
534.96	1.0395	0.4637	10
535.85	1.0226	0.4668	10
536.75	1.0179	0.4647	10
537.64	-0.0268	0.4685	10
538.54	-0.2136	0.4871	10
539.44	-0.3817	0.5118	10
540.34	-0.1558	0.4948	10
541.24	-0.1484	0.4981	10
542.14	-0.5119	0.5069	10
543.04	0.1205	0.5187	10
543.95	0.5273	0.5115	10
544.86	0.5653	0.5109	10
545.77	0.5973	0.5371	10
546.68	0.1255	0.5366	10
547.59	-0.6566	0.5471	10
548.50	0.2534	0.5492	9
549.42	0.5821	0.5642	9
550.33	0.0385	0.5782	9
551.25	0.2425	0.5760	9
552.17	-1.0095	0.5703	9
553.09	0.6574	0.5569	9
554.01	-0.6243	0.5633	9
554.94	0.2460	0.5562	9
555.86	-0.2195	0.5507	9
556.79	-1.5712	0.5655	9
557.72	-1.5110	0.5684	9
558.65	-1.1711	0.5445	9
559.58	-0.2801	0.5514	9
560.51	-0.6788	0.5539	10
561.45	-0.4896	0.5395	10
562.38	0.0316	0.5412	10
563.32	-0.1304	0.5498	10
564.26	-0.8215	0.5766	11
565.20	-1.1164	0.5668	11
566.15	0.1047	0.5684	11
567.09	0.3080	0.5680	11
568.04	-0.2681	0.5764	11
568.98	-0.1759	0.5858	11
569.93	0.0418	0.5894	11
570.88	-0.3108	0.6075	10
571.84	-1.6505	0.6130	10
572.79	0.2305	0.6040	10
573.74	0.2218	0.6173	10
574.70	-0.1667	0.6189	10
575.66	2.9881	0.6122	10
576.62	18.2295	0.6217	10
577.58	3.7263	0.6271	10
578.54	-1.2681	0.6242	10
579.51	-0.4037	0.6288	10
580.48	0.0301	0.6338	10
581.44	-0.1196	0.6252	10
582.41	0.3234	0.6135	10
583.39	-0.5722	0.6132	10
584.36	0.6448	0.6196	10
585.33	-0.2261	0.6217	10
586.31	-0.2262	0.6238	10
587.29	0.8364	0.6329	10
588.27	0.8011	0.6319	10
589.25	1.0421	0.6313	10
590.23	-0.6383	0.6334	10
591.21	-0.6092	0.6362	10
592.20	0.0004	0.6355	10
593.19	0.0227	0.6398	10
594.18	-0.7861	0.6729	10
595.17	-0.2323	0.6854	10
596.16	0.4772	0.6926	10
597.16	1.1273	0.7331	10
598.15	-0.8150	0.7718	10
599.15	0.0964	0.7694	10
600.15	-0.7307	0.7686	10
601.15	0.6874	0.8009	10
602.15	0.8951	0.8222	8
603.16	0.6737	0.8311	8
604.16	-0.4563	0.8279	8
605.17	-0.8803	0.8048	8
606.18	-0.0969	0.8047	8
607.19	0.5561	0.8167	8
608.20	0.9457	0.8197	8
609.22	0.8672	0.8449	8
610.23	-0.4156	0.8383	7
611.25	1.8170	0.8486	7
612.27	1.5695	0.8481	7
613.29	-0.9412	0.8462	7
614.31	0.8116	0.8729	7
615.34	0.6096	0.8920	7
616.37	-0.5648	0.9037	7
617.39	-1.4111	0.9175	7
618.42	-1.5312	0.9311	7
619.45	0.1873	0.9236	7
620.49	0.5892	0.9163	7
621.52	1.6546	0.9238	7
622.56	0.4103	0.9316	7
623.60	-0.2929	0.9804	7
624.64	1.7666	1.0048	7
625.68	0.6693	1.0414	6
626.72	0.5142	1.0469	6
627.77	0.8816	1.0515	6
628.82	-0.0702	1.0585	6
629.86	-2.3041	1.1321	6
630.91	-0.3569	1.1571	5
631.97	0.1805	1.1678	5
633.02	-1.9864	1.1932	5
634.08	1.4658	1.2041	5
635.13	-0.1066	1.2321	5
636.19	0.8246	1.2444	5
637.25	1.8004	1.2547	5
638.32	0.4384	1.2665	5
639.38	-0.9168	1.2730	5
640.45	1.1441	1.1981	5
641.52	0.5302	1.0562	4
642.59	0.5154	1.0213	4
643.66	0.8670	1.0195	4
644.73	0.8930	0.9590	4
645.81	-0.2728	0.8924	4
646.88	0.8716	0.8864	4
647.96	-0.7231	0.8869	4
649.04	2.0521	0.8819	4
650.13	-0.8475	0.8834	4
651.21	-1.0970	0.8904	4
652.30	-0.4606	0.9010	4
653.38	1.8005	0.8947	4
654.47	-1.3406	0.8998	4
655.57	-0.4721	0.9165	4
656.66	-0.1193	0.9261	4
657.75	-0.2908	0.9275	4
658.85	1.4969	0.9353	4
659.95	1.9714	0.9562	4
661.05	1.4355	0.9208	4
662.15	1.0134	0.9245	4
663.26	0.1369	0.9512	4
664.36	0.3990	0.9737	3
665.47	0.7745	0.9507	3
666.58	2.1739	0.9668	3
667.69	0.9108	0.9794	2
668.81	-0.5231	0.9750	2
669.92	-0.7558	0.9845	2
671.04	0.5447	0.9856	2
672.16	0.2815	0.9832	2
673.28	-0.2907	0.9839	2
674.40	1.4561	0.9762	2
675.53	0.2666	0.9719	2
676.65	1.5375	0.9780	2
677.78	-0.2446	0.9978	2
678.91	-0.4342	0.9698	2
680.05	0.0327	0.9690	2
681.18	-0.8833	0.9846	2
682.32	-0.2314	0.9988	2
683.45	0.4596	0.9787	2
684.59	-0.7476	0.9879	2
685.74	0.5064	1.1250	2
686.88	0.8821	1.1584	2
688.02	0.2062	1.1622	2
689.17	0.3178	1.1795	2
690.32	1.6182	1.4942	2
691.47	14.2649	1.5405	2
692.63	9.4018	1.5308	2
693.78	1.3080	1.5093	2
694.94	0.6218	1.7183	2
696.10	0.4885	1.7970	2
697.26	-1.8041	1.7883	2
698.42	-1.2274	1.7942	2
699.59	-2.4352	1.7870	2
700.75	-2.2264	1.8173	2
701.92	-1.6492	1.8273	2
703.09	-3.8114	1.8087	2
